,电影名称,评论人,星级,评论时间,题目,评论内容,有用,没用,回应,地理位置,情绪
14,变形金刚3的影评 (1590),[已注销],1,2011-07-08 02:11:09,近乎完美的第三部曲，物超所值的首映体验。文章最后是真正观影剧透。,这篇影评可能有剧透                        首先感叹一句：  伊利牛奶你的插入广告实在是太TMD牛逼了！别人什么联想，西斯科，雪佛莱也仅仅是露个脸，就你还有台词！“Let me finish my Shu Hua milk”然后还给一个舒化奶的特写。    本次《变3》可以说是给三部曲画上了近乎完美的句号，影片长达2个半小时，整个过程基本...                     ,30.0,12.0,17回应,已注销,0.99925223798255
15,变形金刚3的影评 (1590),火热米阿米,1,2011-07-08 02:11:09,变形金刚3  - 电影是娱乐， 轻松而简单,1 这是迈克尔贝的电影，只刺激五官，不care智力  2 这是迈克尔贝的电影，三大要素永垂不朽：突然夕阳，突然背景音乐，突然慢动作  3 美军威武，汽车人为吾所用，单兵作战能力笑傲宇宙  4 军队不再免费帮拍，军备水准严重下降，红蜘蛛都变不出来了  5 汽车人除了擎天柱，其他都...                     ,33.0,4.0,6回应,,0.9735805835563491
16,变形金刚3的影评 (1590),我爱看电影,1,2011-07-08 02:11:09,还不错,该系列几乎演变成了美国军事宣传片，在前二部集中展示美国陆海空三军协同作战的实力后，本集开篇就炫耀了一把美国在航空航天方面取得的成就。 罗茜取代梅根成为了女主角，即使其高挑的身材明显高于山姆的海拨，但她依然用性感红唇征服了观众，本片无疑为杰森·斯坦森的女友打开...                     ,14.0,,0回应,河北邯郸,0.8830153175079881
17,变形金刚3的影评 (1590),[已注销],1,2011-07-08 02:11:09,已确定下一部《变形金刚4》中的插入广告,变形金刚3留给我们最深印象的就是伊利舒化奶那强力插入的广告“let me finish my Shu Hua Milk”，联想一而再再二三的出现大特写广告，美特斯邦威仅仅的贴着女主角的胸脯与屁股，充分说明了我们国产品牌不但已经冲出亚洲打响国际，大气层外的机械生物都已经表示关注！  继《变3...                     ,22.0,3.0,18回应,已注销,0.5100676853518877
18,变形金刚3的影评 (1590),onlymartin,1,2011-07-08 02:11:09,美国大楼尼玛伤不起啊........,这篇影评可能有剧透                        多年潜水豆瓣得出结论 任何三部曲的电影都是diminish return的，意思是随着电影续集的拍摄，我们付出越来越多的票子，但电影质量却越来差。简单点说 三代后必萎！  远的不说 就最近的加勒比海盗4就让人狂喷口水。     但是但是 变形金刚不一样！！ 看变形金刚1的时候，看到天上...                     ,18.0,,10回应,,0.19246343717922743
19,变形金刚3的影评 (1590),Tiberium,1,2011-07-08 02:11:09,麦克贝的水平终于下降到了不能忍的地步。,TF1我可以打9分，TF2我可以打7分，TF3我最多打5分。麦克贝的水平在很稳定的下降。  如果说TF1还有一个故事，TF2勉强有个故事之外，TF3就完全没有故事了。  他妈的这剧情各种2B各种没有道理各种莫名其妙。  TF3最大的问题其实还不是故事，而是在于除了场面和特效之外啥都没有了...                     ,25.0,11.0,25回应,北京,0.583404154037146
20,变形金刚3的影评 (1590),王别树,3,2011-07-22 16:56:16,唧唧嘎嘎吐槽出发,到底斯皮尔伯格为什么要找Michael Bay来拍《变形金刚》系列？答案很简单，因为他名字吉利，“卖拷贝”啊，于是就算恶评如潮被砸上一大坨金酸梅，也丝毫没有影响影片在全球的拷贝狂卖兼票房狂飙。有个未获公认的结论是，烂导演都是给烂观众惯出来的。一些对前两集碎碎念、声称卖...                     ,21.0,,9回应,北京,0.9373411393219409
21,变形金刚3的影评 (1590),kingkongofkhan,3,2011-07-22 16:56:16,后麦贝时代谜题,对于《变形金刚》三部曲系列来说，最终章贡献了一部不可模仿与难以超越的史诗级落幕。这个标杆显得可怕，却又不是遥不可及。这场持续了四年的金属乱斗史诗终于将暂时告一段落。对于传统影评，媒体人，影迷与资深迷友来说，三部电影给大家带来的感受同意义总会有差异。如果我们...                     ,11.0,2.0,1回应,"Ulan Bator, Mongolia",0.9169230407124287
22,变形金刚3的影评 (1590),麻绳,3,2011-07-22 16:56:16,这里发生的一切都与艺术无关,《变形金刚三》起码有近一个小时的冗余内容，如能精简叙事，这部影片在节奏和流畅度都将得到提升，而且较短的片长也意味着更多的放映场次，也可以换算为更多的票房。而迈克尔·贝能在故事含金量日益降低的前提下把这个系列越拍越长，这证明了他在《变形金刚》电影制作中的强势...                     ,19.0,6.0,12回应,北京,0.7126420762491412
23,变形金刚3的影评 (1590),中情局,3,2011-07-22 16:56:16,【转贴影评】变形金刚3 擎天柱：能伤害我的只有基友【剧透】,这篇影评可能有剧透                        　同学们，在刚刚黑完了仙剑5的某人之后，老师以为自己的吐槽能量已经用完了。但是显然在看了变形基刚3之后，老师很快又充能完毕了啦。老贝你的菊花终究躲不过这一劫啊！   　　同学们还记得上一集变形金刚的主题么：谁敢比我更时髦？！   　　而这一集变形金刚主要讲的主题就...                     ,22.0,1.0,6回应,北京,0.9174483594812862
24,变形金刚3的影评 (1590),中天野部慧,3,2011-07-22 16:56:16,擎教主一统天下 老Sam又一次上队花轿选对边 新女友胸平屁小全面败退,这篇影评可能有剧透                        Sam学成毕业 但迟迟找不到工作 侧面衬托出米国 失业率居高不下 找工作不如做个拯救世界的英雄简单 有一点从变形金刚1到变形金刚2到变形金刚3，我一直没想通一个问题，sam每集都要障碍越野跑2个多小时，精神还要保持高度亢奋，时不时坐下嘉年华的过山车和流星锤，为什么他还没有...                     ,14.0,,7回应,上海,0.21301235521892758
25,变形金刚3的影评 (1590),掐恰恰,3,2011-07-22 16:56:16,短评超过140字,特效是三部里边用的最多质量最好的，但是故事情节跟配乐没有第一部让人热血沸腾，最后那个所谓先让领导相信擎天柱队被放逐而实际上他们全留下来的解释实在是牵强，敷衍，莫名其妙。  女主就是个大花瓶，对情节的推动几乎没有帮助，无非就是牵引男主去芝加哥，最后又牵强的说服...                     ,9.0,1.0,9回应,,0.04950242817343542
26,变形金刚3的影评 (1590),摩诃曼珠沙华,3,2011-07-22 16:56:16,"快,快去救御天敌,擎天柱是叛徒!!!","这篇影评可能有剧透                        2出的时候看过一个评论说威震天和擎天柱是一伙的,我深以为然  看了3后从电影院出来,我恍然大悟,娘咧,擎天柱才是外星美分党,给美军带路党,1到3的事情从心中流过,我明白了  故事是这样的  在很遥远很遥远的银河系,有一个高度文明的机器人星球  他们爱好和平,创造出自己灿烂的文明...                     ",18.0,4.0,9回应,广东广州,0.41270073749676706
27,变形金刚3的影评 (1590),彼格伊戈克莱德,3,2011-07-22 16:56:16,最大的植入广告就是女主角的高跟鞋阿！！！！！,跟绝对有10CM以上阿有木有！！！！！！ 啥顶级名牌儿阿都世界末日了还不舍得脱下来啊有木有！！！！  穿着可以开跑车噢亲！！！！！！ 从摩天大厦窗户跳下去都不要紧噢亲！！！！ 人家特种兵都掉下去了鞋也不会掉噢亲！！！！！！！ 满城乱跑2小时脚也不会酸噢亲！！！！！！！...                     ,6.0,,3回应,上海,0.2540005916823389
28,变形金刚3的影评 (1590),wangxiaosi,3,2011-07-22 16:56:16,跑偏金刚,这篇影评可能有剧透                        我觉着变形金刚这片子，能拍得跑偏了实在是件很不容易的事情。  大家伙儿看变形金刚，咱看的是什么？ 大柱砍人，老威发狠，这俩是基础。 然后加上大黄蜂玩飞腿，红蜘蛛犯贱。 然后加上几个新出来的角色，后二十到三十分钟混战一气，前面一个半小时均着往里插三到四场动作戏……...                     ,13.0,2.0,2回应,,0.8852474953829346
29,变形金刚3的影评 (1590),吉山仟,3,2011-07-22 16:56:16,2个字，去看,开始: 雪佛来，奔驰，爱马仕，耐克，联想，伊利，苹果，Double A，法拉利，道奇，悍马，迈巴赫，宾利。转折，狂派占领地球。轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰轰。离间，刀，剑，斧头，屎，屎，屎，人类胜利，Over。  @...                     ,8.0,2.0,14回应,,0.3257019034770129
30,变形金刚3的影评 (1590),颜,3,2011-07-22 16:56:16,简短剧透＋吐槽,这篇影评可能有剧透                        其实都没有什么剧好透的。 “机器人打架” 五个字，完了。 为什么打啊，怎么打的啊，结果怎么样啊，想想就知道了。 我是实在忍不了来吐槽的。  电影一开始，一双美腿的特写，裸露的有没有（还有臀部的其实）！这个也到罢了，镜头往上扫，一头金发！金发是什么？金发是什么？性...                     ,10.0,,10回应,马曳,0.9884268192190411
31,变形金刚3的影评 (1590),小妙,3,2011-07-22 16:56:16,以自由的名义。。。,第一次去的电影院，华腾新天地里的一个什么影院。。。忘了，记性好差。。。  环境2分吧，是最大的厅，但是感觉屏幕不够大，音响效果也一般，没什么震撼感。  电影内容还是和之前差不多，我总结了三个人生教训：  1，每个人都是会背叛的； 2，作为女人，不能爱慕虚荣，不能随便...                     ,1.0,,0回应,江苏扬州,0.938885965770734
32,变形金刚3的影评 (1590),kingkongofkhan,3,2011-07-22 16:56:16,史诗级落幕，坑爹并坚挺着,五年，对于一部拥有着大投资系列化的商业类型电影来说，三部曲的数量或许是一个不大不小的奇迹，当我们怀着百感交集的情绪重新审视这部系列电影的发展脉络时，也许会发现爆米花电影也的确不是那么简单的儿戏，他背后所代表的恰好是一个标准精确的好莱坞电影产业，庞杂，专业，...                     ,16.0,5.0,5回应,"Ulan Bator, Mongolia",0.07791291253609867
33,变形金刚3的影评 (1590),Sand❤️ZS,3,2011-07-22 16:56:16,Sam——玛丽苏的究极进化,这篇影评可能有剧透                        首先我要说，变形金刚的动画版吧，作为一90后我看过但是木有什么印象了，这次在变3前特意重看了遍变1，提早进入角色。  所以大家也别埋怨电影不够开门见山，这种拖拉难道不是从第一集就开始的么？  玛丽苏Sam同学从影片开始被人包养、找工作碰壁、被彪悍的舒化男压厕所、在公路...                     ,5.0,2.0,5回应,,0.669809252700457
34,变形金刚3的影评 (1590),quickgun,3,2011-07-22 16:56:16,擎天柱：能伤害我的只有基友,这篇影评可能有剧透                        　　同学们还记得上一集变形金刚的主题么：谁敢比我更时髦？！  　　而这一集变形金刚主要讲的主题就是：能够伤害我的只有基友！  　　有同学要问了，为什么变形金刚3有这么多地方可以黑，从Rosie的香肠嘴，到那根香肠霸天虎，为什么老师偏偏要从基友这里入手呢，且听我娓娓道...                     ,9.0,,2回应,,0.3194316004461516
35,变形金刚3的影评 (1590),人类学科研究员,3,2011-07-22 16:56:16,一部奇怪的触手系电影,说实话，这是一部很奇怪的电影。 老贝也表现出他宅且腐的一面，  照例的擎天柱和霸天虎之间的相爱相杀，这次还杀出来一个年上阴冷背叛…… 触手系shockwave先后性趣盎然拥抱切尔诺贝利和摩天大楼…… 霸天虎对大黄蜂说完“you are mine”后让他转过身…… 被电线捆绑起来的擎天...                     ,5.0,,0回应,上海,0.6479856873358417
36,变形金刚3的影评 (1590),Mr。King,3,2011-07-22 16:56:16,倾城之恋第三部,"张爱玲笔下的白流苏和范柳原，需要香港的沦陷来成全他们。  变形金刚里的Sam和Carly,同样也需要芝加哥的沦陷来成全爱情。  在这部貌似是机器人为主角，昏天黑地杀个不停炸个不歇的电影里，男主角和女主角的爱因为芝加哥的千疮百孔而升华，最终指向了婚姻的殿堂。  男女主角几先...                     ",7.0,1.0,3回应,"New York City, United States",0.9531863382601222
37,变形金刚3的影评 (1590),罗严打vs特朗普,3,2011-07-22 16:56:16,擎天柱的阴谋,我曾经说过，看大爆炸大翻车就要拽上动作片控的老爸。于是我这么做了。 其实是我爹单位团购了电影票，不看太亏。8月份不是尼古拉斯凯奇的大烂片就是汽车总动员的大烂片，据说叉男们还被猥琐的蓝精灵给顶了，我又不想看哈利波特。所以……摊手。只有变形3了。 上周六一大早就到...                     ,9.0,2.0,6回应,天津,0.7524460401522117
38,变形金刚3的影评 (1590),wuhan_315,3,2011-07-22 16:56:16,狗血淋漓——变三归来,这篇影评可能有剧透                           抱着很大期望来看的，预告片拍的热血沸腾，感觉很震撼。     结果实在失望，剧情太狗血，连我这种没逻辑的文科女都觉得硬伤无数的电影，可以想象有多失败。     败笔一：御天敌——擎天柱之前的博派领袖，性格变化过于迅速，之前没有任何铺垫，突然由好变坏，看的不仔细，到...                     ,9.0,,2回应,,0.8522534928349411
39,变形金刚3的影评 (1590),qushry,3,2011-07-22 16:56:16,基情很好，剧情很弱,变形金刚每集必备地摔打轰炸，毁车毁建筑物是家常便饭，一个不留神地球人就中了汽车人的阴谋，然后美国大兵们开始拯救人类，贩卖悲壮。生死关头之际，圣父擎天柱率领汽车人队伍来伸张正义，维持秩序，每集干掉几只霸天虎，再和威震天打个照面打个啵，威震天一如既往地对擎天柱...                     ,10.0,2.0,12回应,浙江金华,0.9018639409348447
40,变形金刚3的影评 (1590),viennavirus,3,2011-07-23 02:22:13,强力催眠弹,从未想到变形金刚也会成为强力催眠弹，完场后的洗手间门前，众人纷纷互相询问“御天敌怎么死的？震荡波怎么死的”，并相当羞愧地自承刚才不小心睡过去了。 颇为玄虚的月球事件之后，电影立马陷入了无可救药的拖沓与散乱，轻佻烂笑话与俗烂狗血情节层出不穷，动作场面鸡零狗碎，...                     ,8.0,1.0,2回应,北京,0.2046538222131481
41,变形金刚3的影评 (1590),way,3,2011-07-23 02:22:13,威震天加了中地沟油啦！,女主角大不如前咱就不说了； 整部广告中插播剧情咱不说了； 王搞基把伊利喝的跟三鹿似的咱不说了； 一帮退役造型男去前线打酱油咱不说了；  咱单说在赛博登时智商如此之高，设计了整个复兴计划的威震天在最后几分钟，只被这大不如前的女主说了几句，就2的去干了自己废了九牛二...                     ,6.0,,1回应,山东青岛,0.8916403391667449
42,变形金刚3的影评 (1590),鱼儿,3,2011-07-23 02:22:13,领袖反派齐飞 花瓶要多美有多美 (转载)写在上映之前,就在一票人伸长脖子，等着盼着能与美国人民同步欣赏《变形金刚3：月黑之时》(以下简称《变3》) 时，传来了本片推迟上映的噩耗，称基本敲定于7月21日，比全球公映晚了20多天。坊间称，此举为了给集万千宠爱于一身的《建党伟业》(以下简称《建党》)让路，避免正面交锋。有网友含...                     ,23.0,11.0,16回应,河北唐山,0.9874786262988761
43,变形金刚3的影评 (1590),嵇嘉理,3,2011-07-23 02:22:13,没有那么糟,这篇影评可能有剧透                        不得不说迈克尔·贝的这部片子的音响打斗效果做的挺好的。 虽然片子上映一年多了，但是现在翻出来看看感觉还是蛮过瘾的。这部片子豆瓣上面的吐槽也是不少的，相对于150分钟的时长来讲，能制作如此已实属不易。毕竟让一个人坐在荧幕面前坐这么久也是一件不容易的事情。 相对说来...                     ,1.0,,0回应,山东烟台,0.12612612612612606
44,变形金刚3的影评 (1590),天津饭,3,2011-07-23 02:22:13,变形金刚为什么无法打动我。,（好久没写过感受了，猛不丁一写有点儿语无伦次，就这么个意思吧。）   时间过得真快，变形金刚真人版转眼就出了第三部。  现在还记得当年看完第一部走出影院时的兴奋感，看到每一辆车脑海中都会响起汽车人变形的齐齐咔咔的声音。  后来，带着更大的期待和激动的心情去看了第二...                     ,5.0,,3回应,四川成都,0.9285836990198123
45,变形金刚3的影评 (1590),deercarter,3,2011-07-23 02:22:13,变3——我看过最烂的美国大片,这篇影评可能有剧透                        22号晚上去看的电影，到现在才来写影评，题目已告诉大家一切，我需要用这么些天来平复一下愤怒的心情。  首先声明的是我不是变形金刚黑，我非常爱变形金刚，小时候老爸答应我，我语文什么时候考了第一名（我语文小时候非常差），就给我买个变形金刚，终于，有一次我考了第一名...                     ,8.0,2.0,2回应,安徽芜湖,0.12612640636451822
46,变形金刚3的影评 (1590),Cary,3,2011-07-23 02:22:13,今天我看了一部叫《变形金刚3》的电影， 然后我就想拿3D眼镜架腿爆迈克尔贝的菊,这篇影评可能有剧透                        嗯，今天我看了一部电影，叫《变形金刚3》。  看后，我特别后悔剧组来中国宣传时我怎么没去看，我真想拿3D眼镜把导演爆菊了。  丫挺的，羞辱我的智商羞辱了150分钟  来说说这部电影。　  如果说TF1有一个完整的故事，TF2有一个说得通的故事，TF3。。。神马都木有！！！  刚开始...                     ,8.0,1.0,6回应,,0.9808691208442373
47,变形金刚3的影评 (1590),逆光飞翔,3,2011-07-23 02:22:13,《变形金刚3》：极致火爆谱终章,文/家钥  “人类已经阻止不了我们了。”  片中“狂派”霸天虎的一句台词不仅霸气外露，给汽车人构成了史上最大的一次威胁，更是间接地道出了这部“爆炸狂人”迈克尔·贝作品的本质。的确，如果单从电影本身而论，《变形金刚3》凭借强势的制作班底、终结篇的巨大号召力以及80后...                     ,3.0,,6回应,福建福州,0.5626046554189299
48,变形金刚3的影评 (1590),雅典娜,3,2011-07-23 02:22:13,这哪里是TF，这只是一堆机器人混战+ST+DW穿越吧尼媚！！！,从电影院出来到现在一直在恍惚的状态，太多槽想吐却又不知从何吐起 同时不知为啥还有点晕的想吐……orz   这是神马啊这片子！！！这是神马啊！！！！！！ TF所有各类作品有这么设定的吗尼媚！！！  整体感觉就是：这片子不知所谓！OOC严重！！！ 不OOC的只有碳基！硅基全部OOC...                     ,6.0,1.0,8回应,"Athínai, Greece",0.09281667445982478
49,变形金刚3的影评 (1590),[已注销],3,2011-07-23 02:22:13,我拆，我拆，我拆拆拆,★★★☆  　　因为去了趟阿拉斯加，没来得及去看影院好好观赏，回来后等到今天打折日，恰好礼拜五，忍不住了，出发~~~  　　虽然已经上映了两周，本场还是有30人左右。电影院内密密麻麻的人，都是在排队进场看“哈利波特7”。实在不感冒这个系列~~~  　　  　　废话不说了，...                     ,6.0,,1回应,已注销,0.09823598504044273
50,变形金刚3的影评 (1590),刺儿,3,2011-07-23 02:22:13,8月4日《变形金刚3》,看了这部迈克尔。贝拍的第三集，剧情的确有些诟病，也许还是人类的世界里出现了金属的碰撞有些难以适从吧，看看光影效果过过眼瘾也就好，那些特效也的确代表了世界目前的最高水平，一个商业导演也不可能拍出反思的故事来，不太喷血就好。变形金刚除了一代人的回忆和挣钱功夫了...                     ,1.0,,0回应,辽宁锦州,0.5223841987563203
51,变形金刚3的影评 (1590),瑾朵朵,3,2011-07-23 02:22:13,电影院里只有我一人……,❤因为去看的时候已经过了风头，电影院里居然只有我一人，都不敢上厕所，怕放映员看我出去就关机清场了  ❤都说：孩子娘耳朵长，意思是孩子的娘能听见孩子的一举一动，有时候孩子的哭别人同不见，为娘的却能听见。 这话用在大黄蜂身上很合适嘛。山姆每次遇到各种危险，扯嗓...                     ,4.0,1.0,1回应,湖北神农架林区,0.6476960451034777
52,变形金刚3的影评 (1590),思考的猫,3,2011-07-23 02:22:13,亮点寥寥，期待“变形”,作为迈克尔贝的“变形金刚”系列终结篇，《变形金刚3》确实从一上映就引得万千观众奔赴影院，大陆尽管上映稍晚，但是压抑的观影热情爆发起来，反倒让它在大陆票房前一周就达到了骇人的效果。尽管从《变形金刚2》我就对迈克尔贝不报希望，还发出了是不是该换导演了的疑问，但是...                     ,3.0,,2回应,北京,0.08739353616377377
53,变形金刚3的影评 (1590),陈阿呆会很红,3,2011-07-23 02:22:13,只喜欢擎天柱,万达看IMAX的，全场几百号的人，愣是没开空调，看到后来简直热崩溃了。出了影院有人对着工作人员乱叫，这里是电影院，不是桑拿房！ 外话说完，剧情没有可以吸引人的地方，纯看变形金刚变形打仗来着，男主角不知道在里面有什么作用，全剧都在拉着女主角逃命，两人防弹衣什么都没...                     ,3.0,,4回应,上海,0.5815087530505398
54,变形金刚3的影评 (1590),宋小卡,3,2011-07-23 02:22:13,《变形金刚》阴谋论汇总 地球人已经阻止不了迈克尔贝了,"所谓阴谋论，是指对一些官方无法自圆其说的历史事件提出质疑，认为很多事件都有幕后操控者，是某些权力机构秘密策划的结果。《变形金刚3》的首款预告片就直指1969年美国""阿波号""登月遇到外星人的阴谋论，抛出人类登月其实另有目的悬念。事实上，以""阴谋论""做噱头是迈克尔·贝的...                     ",11.0,1.0,8回应,上海,0.9545224783383504
55,变形金刚3的影评 (1590),Η²,3,2011-07-23 02:22:13,我来说说月球背面那艘远古飞船,早在几年前，就有一些解密信息提到了，月球上可能存在一个巨大飞船残骸。 用资料说话：   新华网的页面：  “阿波罗20号”曾在月球上发现巨型宇宙飞船残骸 2009年12月09日 07:54:40 　来源：国际在线      国际在线专稿：1976年，美国航天局曾计划实施“阿波罗20号”登月计划，...                     ,2.0,1.0,0回应,听妒脉脉春风,0.2903618905230936
56,变形金刚3的影评 (1590),slaon,3,2011-07-23 02:22:13,差劲,烂片。 剧情无逻辑，演员在作秀。  转一下某人的评价： http://group.mtime.com/filmov/discussion/1537485/  在香港考察了这部电影，一个字：烂。 当然，我不是有意去黑这部影片。尽管影片无法接受，但为了表示对影片制作团队的尊重，我在影院看完了片尾10多分钟的字幕。 我只...                     ,6.0,1.0,3回应,,0.1089108910891089
